LSOA01CD,LSOA01NM,LSOA01NM2,Local Authority Name,2005Overall index score,2005Rank Overall,2005Income Number (1),2005Income Percentage (2),2005Employment (revised) (3) Number (1),2005Employment (revised) (3) Percentage (2),2005Income Rank,2005Income Score,2005Employment Rank,2005Employment Score,2005Health Rank,2005Health Score,2005Health Rank,2005Health Score,2005Access to Services Rank,2005Access to Services Score,2005Housing Rank,2005Housing Score,2005Physical Environment Rank,2005Physical Environment Score,2005Access to food shop (1),2005Access to GP (2),2005Access to primary school (3),2005Access to secondary school (4),2005Access to dentist (5),2005Access to post office (6),2005Access to library (7),2005Access to leisure centre (8),2005KS2 average point score (1),2005KS3 average point score (2),2005KS4 average point score (3),2005Secondary school absence rates (4),2005Not in education (5),2005Low qualifications (6),2005Male ,2005Female ,2005Total Persons,2005Income Rank,2005Employment Rank (revised) (2),2005Health Rank,2005Education Rank,2005Access to services Rank,2005Housing Rank,2005Physical environment Rank,2005Overall Index Rank (revised) (1),2008Income ,2008Employment ,2008Health ,2008Education ,2008Access to services ,2008Housing ,2008Physical environment ,2008Community safety ,2008Overall Index ,2008Child Index - Income ,2008Child Index - Education ,2008Child Index - Health ,2008Child Index - Access to Services ,2008Child Index - Housing ,2008Child Index - Physical Environment ,2008Child Index - Community Safety ,2008Child Index,2011WIMD score,2011Employment score,2011Income score,2011Education score,2011Health score,2011Community Safety score,2011Access score,2011Enviroment score,2011Housing score,2011Child Index,2011Income domain_Child Index,2011Education domain_Child Index,2011Health domain_Child Index,2011Community Safety domain_Child Index,2011Enviroment domain_Child Index,2011Access to Services domain_Child Index,2011Housing domain_Child Index
W01001152,Aberdare West/Llwydcoed 2,Rhondda Cynon Taf 002B,Rhondda Cynon Taf,18.3,925,276,17,169,17,847,18.2,700,22.4,988,14.7,1276,9.0,529,28.6,1535,4.8,503,29.8,97,96,98,99,98,98,88,64,90,104,44,9,29,28,818,850,1668,847,700,988,1276,529,1535,503,925,912,721,67,1185,373,1535,926,1477,595,1095,1222,644,399,1696,926,1477,1099,20.7,20.0,13.4,11.9,45.9,7.2,36.3,10.4,4.8,12.6,11.3,12.3,5.7,7.2,10.4,34.8,2.5
W01001153,Aberdare West/Llwydcoed 3,Rhondda Cynon Taf 002C,Rhondda Cynon Taf,31.1,426,462,28,212,23,305,40.6,274,42.9,777,20.1,541,28.2,1384,7.1,523,28.9,878,17.4,99,100,100,100,100,100,100,100,79,98,30,9,29,38,770,860,1631,305,274,777,541,1384,523,878,426,379,328,825,489,1671,523,1273,952,521,498,437,884,1342,665,1273,952,674,26.8,37.8,33.9,31.8,20.2,14.0,2.9,4.2,28.9,22.9,31.4,32.6,16.0,14.0,4.2,7.8,23.6
W01001154,Aberdare West/Llwydcoed 4,Rhondda Cynon Taf 003D,Rhondda Cynon Taf,30.4,440,358,24,221,25,463,31.6,181,51.5,718,21.9,1026,13.9,539,28.2,982,14.9,976,15.0,96,77,96,100,96,96,77,82,83,103,46,9,29,34,715,790,1505,463,181,718,1026,539,982,976,440,644,322,644,719,767,982,1790,1122,611,627,649,1506,803,510,1790,1122,908,27.1,41.3,26.7,25.4,26.8,18.8,20.4,1.3,14.9,20.2,23.3,28.6,9.9,18.8,1.3,19.4,29.4
W01001155,Aberdare West/Llwydcoed 5,Rhondda Cynon Taf 002D,Rhondda Cynon Taf,28.1,505,294,18,179,20,735,21.4,496,30.1,147,55.7,1078,12.8,923,16.3,701,22.4,257,44.2,100,100,100,100,100,100,100,100,81,100,51,9,29,31,746,848,1593,735,496,147,1078,923,701,257,505,593,537,1060,944,1569,701,546,749,775,752,945,801,1397,507,546,749,902,23.9,31.9,29.9,21.0,16.7,21.7,4.3,29.4,22.4,23.8,32.7,24.1,14.0,21.7,29.4,6.9,29.6
W01001156,Aberdare West/Llwydcoed 6,Rhondda Cynon Taf 003E,Rhondda Cynon Taf,5.3,1783,39,3,76,7,1877,0.2,1575,4.2,1274,9.0,1752,1.8,789,19.8,1864,0.4,1142,11.5,84,33,100,100,96,100,25,71,89,109,58,8,29,14,784,758,1542,1877,1575,1274,1752,789,1864,1142,1783,1889,1718,1863,1767,534,1864,1793,1800,1863,1867,1609,1289,673,1743,1793,1800,1810,4.6,4.4,0.2,2.3,1.7,0.5,28.4,1.8,0.4,5.5,0.6,4.9,7.8,0.5,1.8,23.3,1.9
W01000045,Aberdaron,Gwynedd 014A,Gwynedd,22.1,724,117,11,45,7,1266,9.2,1591,4.0,719,21.9,998,14.5,13,90.9,31,81.8,1622,3.6,21,0,36,0,0,27,0,0,85,95,46,10,25,32,531,532,1063,1266,1591,719,998,13,31,1622,724,977,1565,1146,1339,4,31,1580,1642,746,1233,1521,1885,3,61,1580,1642,765,20.5,4.4,11.0,14.0,6.6,1.3,97.4,2.9,81.8,22.6,10.0,14.0,0.5,1.3,2.9,98.2,71.8
W01000046,Aberdovey,Gwynedd 017A,Gwynedd,11.7,1387,104,9,56,9,1413,6.7,1374,7.3,1485,5.6,1618,3.6,284,42.1,294,41.4,1121,11.9,76,85,86,93,2,85,0,63,89,110,43,6,24,20,567,551,1118,1413,1374,1485,1618,284,294,1121,1387,1240,1014,1547,1602,255,294,1609,1432,1213,1307,1676,1488,247,127,1609,1432,1246,10.7,6.1,5.3,4.0,3.4,5.2,44.4,5.0,41.4,11.9,1.0,3.4,7.3,5.2,5.0,45.1,58.5
W01000887,Aberdulais,Neath Port Talbot 005A,Neath Port Talbot,24.3,630,396,21,226,19,612,25.4,543,28.1,697,22.5,585,26.4,532,28.5,1434,6.3,1272,9.1,97,36,99,100,85,99,8,99,81,101,32,9,49,34,926,998,1924,612,543,697,585,532,1434,1272,630,585,594,964,919,612,1434,1419,1020,788,633,1218,1010,1238,1071,1419,1020,1094,19.4,22.2,19.6,14.7,18.9,13.0,25.4,27.7,6.3,15.5,18.5,9.5,16.7,13.0,27.7,9.7,12.9
W01000047,Abererch,Gwynedd 011A,Gwynedd,12.4,1326,154,11,74,10,1279,8.9,1342,7.8,1803,1.2,1356,7.6,271,43.1,426,33.4,859,17.9,59,76,79,79,81,79,42,4,83,110,47,9,38,25,660,753,1413,1279,1342,1803,1356,271,426,859,1326,1281,1334,1654,1274,166,426,805,1672,1216,1313,1171,1436,122,442,805,1672,1063,14.1,10.0,7.4,8.3,2.3,6.2,53.2,25.4,33.4,14.3,3.4,8.6,3.1,6.2,25.4,59.3,32.6
W01000001,Aberffraw & Rhosneigr 1,Isle of Anglesey 007A,Isle of Anglesey,23.6,659,215,20,92,16,658,23.8,752,20.9,1041,13.6,806,19.3,167,53.1,349,37.7,1490,5.5,83,39,84,0,0,84,56,0,92,103,35,11,48,31,520,565,1085,658,752,1041,806,167,349,1490,659,661,674,914,918,239,349,1431,486,638,1160,1064,315,218,175,1431,486,617,21.8,22.2,18.5,14.7,17.8,22.6,45.7,2.0,37.7,26.0,15.0,11.7,47.9,22.6,2.0,47.7,52.2
