Ward Code,Ward Name,LGD Name,Multiple Deprivation Measure Score,Rank of Multiple Deprivation Measure Domain,Income Domain Score,Rank of Income Domain,Employment Domain Score,Rank of Employment Domain,Health Domain Score,Rank of Health Domain,Education Domain Score,Rank of Education Domain,Access Domain Score,Rank of Access Domain,Social Environment Domain Score,Rank of Social Environment Domain,Housing Domain Score,Rank of Housing Domain,Child Poverty Measure Score,Rank of Child Poverty Measure
1316,Eglinton,Derry,14.13,364,20.56,379,12.33,273,0.19,210,-0.42,380,0.36,204,-0.30,354,0.20,499,22.49,435
1317,Enagh,Derry,31.26,125,37.30,134,17.71,66,0.60,103,-0.09,309,0.35,208,0.20,220,0.21,492,53.36,139
1318,Faughan,Derry,22.73,223,27.41,265,14.84,145,0.37,159,0.15,241,0.38,200,0.15,231,0.21,469,32.20,351
1319,Glen,Derry,46.16,42,49.29,41,21.24,22,0.88,63,0.63,140,-0.80,477,0.58,132,0.24,356,78.66,19
1320,Lisnagelvin,Derry,18.90,275,25.80,294,15.21,137,0.07,253,0.09,257,-0.99,503,0.44,152,0.18,545,43.98,217
1321,New Buildings,Derry,19.04,272,25.87,293,14.28,176,0.28,177,-0.24,342,0.23,231,-0.03,282,0.22,456,32.65,344
1322,Pennyburn,Derry,13.29,379,24.05,326,13.26,234,0.01,272,-1.46,534,-0.55,416,0.53,141,0.21,479,38.03,284
1323,Rosemount,Derry,46.14,43,45.95,63,21.26,21,1.20,36,0.69,124,-1.27,534,0.58,131,0.25,322,65.73,74
1324,St. Peter's,Derry,60.18,17,66.31,4,19.95,32,1.16,41,1.77,19,-0.41,369,0.10,246,0.23,426,92.39,1
1325,Shantallow East,Derry,55.29,23,63.89,6,17.31,77,1.41,24,1.71,24,-0.55,418,0.21,214,0.20,515,83.63,7
1326,Shantallow West,Derry,53.11,27,58.43,15,15.91,111,1.69,14,1.47,33,-0.04,271,1.10,55,0.20,518,68.77,52
1327,Strand,Derry,40.55,65,38.30,122,19.22,37,1.35,29,0.14,244,-1.78,562,1.75,9,0.23,378,72.58,37
1328,The Diamond,Derry,61.50,15,55.92,20,29.91,1,1.37,27,0.58,149,-1.49,547,1.61,16,0.25,310,71.62,42
1329,Victoria,Derry,58.29,18,57.77,17,23.59,8,0.81,75,1.02,74,-1.29,535,1.92,2,0.22,465,74.09,30
1330,Westland,Derry,50.16,31,48.36,45,23.40,10,1.20,37,0.71,118,-1.48,546,0.32,182,0.23,429,68.57,54
1401,Ardglass,Down,23.83,206,35.28,156,14.10,185,-0.12,326,0.16,238,0.67,140,0.56,137,0.26,302,47.98,181
1402,Audley's Acre,Down,10.01,433,18.90,409,11.15,344,0.05,261,-0.78,463,-0.64,432,0.23,210,0.22,448,28.75,388
1403,Ballymaglave,Down,12.90,383,18.09,421,9.86,407,0.21,200,0.00,280,-0.03,269,0.54,139,0.20,497,22.56,433
1404,Ballynahinch East,Down,14.05,365,23.78,330,11.13,345,0.13,227,-0.06,297,-0.46,397,0.57,135,0.23,380,34.42,328
1405,Castlewellan,Down,24.43,196,35.36,152,13.22,236,0.60,105,0.05,271,0.42,187,0.23,209,0.22,434,46.24,196
1406,Cathedral,Down,30.71,131,33.95,173,17.03,89,0.62,100,0.69,126,-0.75,465,0.90,82,0.22,455,44.97,208
1407,Crossgar,Down,7.84,471,15.65,450,7.50,484,-0.47,426,-0.64,433,0.46,181,-0.08,296,0.23,389,22.54,434
1408,Derryboy,Down,9.79,437,15.81,449,9.33,432,-0.62,450,-0.67,438,0.88,96,-0.59,427,0.27,240,18.35,473
1409,Donard,Down,11.28,413,16.76,438,11.78,304,-0.21,354,-1.14,509,-0.17,297,0.87,84,0.26,299,19.37,463
1410,Drumaness,Down,16.73,314,23.29,342,10.65,367,0.24,189,0.18,235,0.63,151,0.04,272,0.27,256,31.52,360
1411,Dundrum,Down,21.01,244,29.45,237,11.12,346,0.39,153,0.52,166,0.52,173,0.68,114,0.22,454,42.83,228
1412,Dunmore,Down,12.84,387,15.99,446,7.48,485,0.31,170,-0.33,364,0.97,80,-0.38,374,0.21,478,23.87,427
1413,Flying Horse,Down,54.52,25,50.19,36,23.58,9,1.08,45,1.26,52,-0.84,482,0.80,97,0.21,470,76.34,23
1414,Killough,Down,16.08,322,20.56,380,9.97,399,0.36,161,0.05,270,0.71,127,-0.04,284,0.27,253,33.09,341
1415,Killyleagh,Down,26.47,169,28.48,248,14.55,166,0.45,138,0.84,95,0.17,236,0.34,178,0.27,264,37.03,293
1416,Kilmore,Down,8.27,461,11.17,499,6.86,515,0.00,276,-1.04,499,0.52,172,-0.60,430,0.28,210,14.29,501
1417,Murlough,Down,27.93,155,36.73,139,12.95,244,0.56,113,0.72,115,0.16,238,0.76,102,0.25,325,54.09,134
1418,Quoile,Down,14.85,349,23.60,334,12.57,262,-0.11,322,-0.25,346,-0.24,317,1.09,58,0.19,540,35.11,315
1419,Saintfield,Down,6.00,503,9.74,513,6.96,506,-0.86,498,-0.43,383,0.28,220,-0.22,335,0.22,446,10.86,527
1420,Seaforde,Down,12.85,386,15.52,453,11.32,332,-0.04,290,-0.26,350,0.80,110,-0.14,311,0.22,443,18.64,471
1421,Shimna,Down,16.62,315,26.98,273,12.47,266,0.29,175,-0.60,424,-0.79,475,1.09,57,0.22,432,41.13,244
1422,Strangford,Down,12.55,393,19.08,405,9.86,408,-0.60,446,-0.47,388,1.09,60,-0.13,307,0.27,232,28.31,393
